PLANT_CODE,BATCH_NO,SIMULATED_HEAT_NO,HR_GRADE,QUALITY_LEVEL,VENDOR_GRADE,BATCH_THICK,BATCH_WIDTH,BATCH_WEIGHT,SENT_DATE,SUPPLIER_TC_NO,CHEM_TREATMENT,SURFACE,REMARK,CARBON_PCT,CARBON_EQ,MANGANESE_PCT,PHOSPHORUS_PCT,SULPHUR_PCT,SILICON_PCT,ALUMINIUM_PCT,NITROGEN_PCT,NITROGEN_PPM,BORON_PCT,COPPER_PCT,CHROMIUM_PCT,NICKEL_PCT,TIN_PCT,YMPA,TMPA,EL_PCT,HARDNESS,UTS,YS,INNER_DIA,OUTER_DIA,READ_FLAG
2000,25E0165P01,88692710,CR2,PRIME,CR2,4,1260,25.945,20-05-25,,NA,NA,,0.037,0.067,0.147,0.01,0.006,0.019,0.055,0.001,70,0.03,0.006,0.016,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0166R00,19547365,CR2,PRIME,,4,1235,21.84,05-05-25,,NA,NA,,0.036,0.082,0.28,0.018,0.012,0.01,0.056,0,40,0.03,0.003,0.016,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0172R00,51328118,CR2,PRIME,,3.2,1235,22.02,05-05-25,,NA,NA,,0.038,0.083,0.28,0.016,0.012,0.009,0.056,0,36,0.03,0.004,0.018,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0216P01,80179309,CR2,PRIME,CR2,4,1260,26.01,20-05-25,,NA,NA,,0.034,0.067,0.17,0.012,0.011,0.008,0.039,0.001,42,0.03,0.004,0.016,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0231R00,74017522,CR2,PRIME,,4,1235,21.995,05-05-25,,NA,NA,,0.04,0.084,0.26,0.012,0.01,0.009,0.057,0,32,0.03,0.003,0.019,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0271R00,11596085,CR2,PRIME,,4,1235,22.32,06-05-25,,NA,NA,,0.038,0.085,0.28,0.018,0.01,0.012,0.06,0,40,0.03,0.003,0.014,0.01,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0275P01,97084602,CR2,PRIME,CR2,4,1260,25.985,20-05-25,,NA,NA,,0.037,0.067,0.147,0.01,0.006,0.019,0.055,0.001,70,0.03,0.006,0.016,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0313P01,81200807,CR2,PRIME,CR2,4,1260,25.985,20-05-25,,NA,NA,,0.044,0.067,0.145,0.011,0.007,0.015,0.039,0.001,44,0.03,0.004,0.015,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0320R00,85958254,CR2,PRIME,,4,1235,22.08,07-05-25,,NA,NA,,0.04,0.082,0.24,0.018,0.012,0.01,0.056,0,40,0.03,0.003,0.015,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0330R00,28165008,CR2,PRIME,,4,1235,24.83,07-05-25,,NA,NA,,0.04,0.083,0.26,0.016,0.013,0.012,0.057,0,42,0.03,0.005,0.018,0.011,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0332R00,80683717,CR2,PRIME,,4,1235,22,07-05-25,,NA,NA,,0.038,0.079,0.24,0.012,0.009,0.01,0.06,0,38,0.03,0.003,0.014,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0335R00,63060626,CR2,PRIME,,4,1235,26.165,07-05-25,,NA,NA,,0.04,0.081,0.23,0.014,0.01,0.008,0.06,0,36,0.03,0.005,0.016,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0339R00,26817425,CR2,PRIME,,4,1235,26.025,07-05-25,,NA,NA,,0.039,0.081,0.24,0.016,0.013,0.012,0.06,0,40,0.03,0.003,0.012,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0345R00,19787538,CR2,PRIME,,4,1235,22.1,08-05-25,,NA,NA,,0.039,0.074,0.23,0.015,0.007,0.01,0.054,0,28,0.03,0.006,0.012,0.009,0.01,475,325,0.001,80,500,350,756,0,1
