PLANT_CODE,MATERIAL_CODE,MATERIAL_DESC,BATCH_NO,BATCH_WEIGHT,STORAGE_LOC,BATCH_THICK,BATCH_WIDTH,RM_SOURCE,VENDOR,VENDOR_BATCH,GRN,PO_NO,PO_LINE_NO,PO_DELIVERY_DATE,MOVEMENT_TYPE,PRODUCT_GROUP,PRODUCT_TYPE,EQ_SPEC,EQ_SPEC_GROUP,EQ_SUB_SPEC,CHAPTER_ID,CHAPTER_TYPE,CROWN,SIMULATED_HEAT_NO,QA_MATCH_STATUS
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0543R0,18.48,2001,2,1115,0011000144,JSW Vijayanagar Metallics Limited,26212183,5000095794,4600000273,290,16-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,54947816,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0544R0,27.39,2001,3.6,1260,0011000144,JSW Vijayanagar Metallics Limited,26237167,5000095799,4600000273,260,10-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083890,N,7.453,85098368,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0545R0,27.445,2001,3.6,1260,0011000144,JSW Vijayanagar Metallics Limited,26237163,5000095800,4600000273,260,10-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083890,N,7.453,86037757,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0546R0,27.335,2001,3.6,1260,0011000144,JSW Vijayanagar Metallics Limited,26237269,5000095802,4600000273,260,10-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083890,N,7.453,38609143,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0547R0,27.455,2001,2.8,1260,0011000144,JSW Vijayanagar Metallics Limited,26237324,5000095803,4600000273,200,10-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083990,N,7.453,22521351,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0548R0,27.275,2001,3,1260,0011000144,JSW Vijayanagar Metallics Limited,26230561,5000095805,4600000273,300,16-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083890,N,7.453,52868436,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0549R0,27.43,2001,2.8,1275,0011000144,JSW Vijayanagar Metallics Limited,26231623,5000095806,4600000273,280,16-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083990,N,7.453,34645730,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0550R0,30.57,2001,2.8,1510,0011000144,JSW Vijayanagar Metallics Limited,26236785,5000095878,4600000273,210,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,88091230,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0551R0,27.185,2001,2.8,1265,0011000144,JSW Vijayanagar Metallics Limited,26237180,5000095881,4600000273,190,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,89881209,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0552R0,27.365,2001,3.6,1260,0011000144,JSW Vijayanagar Metallics Limited,26237165,5000095885,4600000273,260,10-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083890,N,7.453,20363087,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0553R0,27.4,2001,2.8,1275,0011000144,JSW Vijayanagar Metallics Limited,26230576,5000095887,4600000273,280,16-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083990,N,7.453,18131371,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0554R0,21.155,2001,2.2,1015,0011000144,JSW Vijayanagar Metallics Limited,26231343,5000095888,4600000273,10,14-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,34893058,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0555R0,27.28,2001,2.5,1260,0011000144,JSW Vijayanagar Metallics Limited,26237182,5000095892,4600000273,160,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,21420903,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0556R0,30.58,2001,2.5,1510,0011000144,JSW Vijayanagar Metallics Limited,26236798,5000095895,4600000273,180,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,43748337,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0557R0,27.27,2001,3,1260,0011000144,JSW Vijayanagar Metallics Limited,26230864,5000095896,4600000273,300,16-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083890,N,7.453,37402828,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0558R0,30.185,2001,2.5,1510,0011000144,JSW Vijayanagar Metallics Limited,26236795,5000095898,4600000273,180,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,15681622,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0559R0,27.38,2001,3.6,1260,0011000144,JSW Vijayanagar Metallics Limited,26237164,5000095899,4600000273,260,10-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083890,N,7.453,51500304,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0560R0,23.705,2001,2.8,1260,0011000144,JSW Vijayanagar Metallics Limited,26237326,5000095900,4600000273,200,10-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083990,N,7.453,24239586,MATCHED
2000,R_HR>3MM_CO,HOT ROLLED BLACK COIL 3MM & ABOVE,26CJ0561R0,27.35,2001,3,1265,0011000144,JVML-VJNR,26237199,5000095932,4600000273,210,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,48789003,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0562R0,27.25,2001,2.5,1260,0011000144,JSW Vijayanagar Metallics Limited,26237210,5000095905,4600000273,160,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,81035620,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0563R0,27.34,2001,3.6,1260,0011000144,JSW Vijayanagar Metallics Limited,26237169,5000095906,4600000273,260,10-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083890,N,7.453,57671898,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0564R0,27.085,2001,2.2,1230,0011000144,JSW Vijayanagar Metallics Limited,26230258,5000095907,4600000273,100,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,69840174,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0565R0,26.895,2001,2.8,1275,0011000144,JSW Vijayanagar Metallics Limited,26230575,5000095908,4600000273,280,16-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083990,N,7.453,66712514,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0566R0,27.36,2001,2.8,1275,0011000144,JSW Vijayanagar Metallics Limited,26230570,5000095909,4600000273,280,16-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083990,N,7.453,41356568,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0567R0,27.385,2001,3,1265,0011000144,JSW Vijayanagar Metallics Limited,26237172,5000095910,4600000273,220,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083890,N,7.453,60418824,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0568R0,27.23,2001,2.8,1275,0011000144,JSW Vijayanagar Metallics Limited,26230577,5000095911,4600000273,280,16-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083990,N,7.453,51792927,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0569R0,27.28,2001,2.8,1275,0011000144,JSW Vijayanagar Metallics Limited,26231622,5000095912,4600000273,280,16-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083990,N,7.453,92237727,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0570R0,27.38,2001,3,1265,0011000144,JSW Vijayanagar Metallics Limited,26237360,5000095913,4600000273,220,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083890,N,7.453,75718777,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0571R0,26.72,2001,3,1265,0011000144,JSW Vijayanagar Metallics Limited,26237356,5000095914,4600000273,220,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083890,N,7.453,57383103,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0572R0,27.415,2001,2.8,1265,0011000144,JSW Vijayanagar Metallics Limited,26237179,5000095915,4600000273,190,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,94252348,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0573R0,27.315,2001,3.6,1260,0011000144,JSW Vijayanagar Metallics Limited,26237368,5000095920,4600000273,260,10-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083890,N,7.453,72630278,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0574R0,27.415,2001,3,1265,0011000144,JSW Vijayanagar Metallics Limited,26237369,5000095921,4600000273,220,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083890,N,7.453,34869331,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0575R0,27.375,2001,3.6,1260,0011000144,JSW Vijayanagar Metallics Limited,26237166,5000095922,4600000273,260,10-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083890,N,7.453,61949491,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0576R0,27.46,2001,3,1260,0011000144,JSW Vijayanagar Metallics Limited,26230865,5000095923,4600000273,300,16-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083890,N,7.453,94118018,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0577R0,27.225,2001,3,1260,0011000144,JSW Vijayanagar Metallics Limited,26230560,5000095924,4600000273,300,16-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083890,N,7.453,16099076,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0578R0,27.335,2001,3,1260,0011000144,JSW Vijayanagar Metallics Limited,26230867,5000095925,4600000273,300,16-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083890,N,7.453,81166827,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0579R0,27.37,2001,3,1265,0011000144,JSW Vijayanagar Metallics Limited,26237175,5000095926,4600000273,220,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083890,N,7.453,69227209,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0580R0,27.34,2001,2.5,1260,0011000144,JSW Vijayanagar Metallics Limited,26237207,5000095927,4600000273,160,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,60461205,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0581R0,27.43,2001,3.6,1260,0011000144,JSW Vijayanagar Metallics Limited,26237367,5000095928,4600000273,260,10-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083890,N,7.453,41096131,MATCHED
